Section,Field,Prompt,Your Entry
Metadata,Title,"Challenge / room name",""
Metadata,Platform,"Platform (THM, HTB, CTF name, etc.)",""
Metadata,Category,"Web, pwn, forensics, crypto, misc, etc.",""
Metadata,Difficulty,"Easy / Medium / Hard (platform rating or your view)",""
Metadata,Author,"Your name / handle",""
Metadata,Date,"Date you completed the challenge",""
Metadata,URL,"Link to the room / challenge",""
Metadata,Writeup URL,"(Optional) Where this writeup will live (blog, GitHub, etc.)",""

Overview,Target,"Target host / app / scope summary",""
Overview,Objective,"What is the main objective? (Get flag, specific access, data, etc.)",""
Overview,High-level summary,"2–3 sentence overview of how you solved it",""

Recon,Initial enumeration,"What scans / tools did you run first (nmap, dirb, gobuster, etc.)?",""
Recon,Findings,"Key ports, services, directories, or files discovered",""
Recon,Reasoning,"Why these findings looked interesting or suspicious",""
Recon,Screenshots / evidence,"List planned screenshots (e.g., nmap results, directory listing)",""

Initial Access,Vulnerability,"What vulnerability did you exploit first? (e.g., SQLi, RCE, misconfig)",""
Initial Access,Discovery,"How you found this vuln (which clue, scan result, or error message)",""
Initial Access,Exploitation steps,"Step-by-step commands or actions to gain initial access (summarised)",""
Initial Access,Payloads,"Key payloads / requests used (with brief explanation)",""
Initial Access,Reasoning,"Why you chose this path and alternative ideas you considered",""
Initial Access,Dead ends,"Short notes on approaches that failed and why",""
Initial Access,Screenshots / evidence,"Screens you will include (e.g., login bypass, shell pop)",""

Privilege Escalation / Lateral,Starting point,"Initial level of access (user, low-priv shell, etc.)",""
Privilege Escalation / Lateral,Enum for privesc,"Commands / tools used (linpeas, winPEAS, manual checks)",""
Privilege Escalation / Lateral,Key privesc finding,"Misconfig / vuln that enabled escalation",""
Privilege Escalation / Lateral,Exploitation steps,"How you escalated privileges or moved laterally",""
Privilege Escalation / Lateral,Creds / reuse,"Any credentials, tokens, or keys reused and where",""
Privilege Escalation / Lateral,Persistence,"Any persistence techniques (if relevant to the challenge)",""
Privilege Escalation / Lateral,Reasoning,"Why you focused on certain vectors (SUID, services, cron, etc.)",""
Privilege Escalation / Lateral,Dead ends,"Attempts that did not work and what you learned",""
Privilege Escalation / Lateral,Screenshots / evidence,"Planned screenshots (e.g., before/after id, proof of privesc)",""

Flag / Objective,Flag location,"Where you eventually found the flag / objective",""
Flag / Objective,Access path,"Shortest clear description of how you got there",""
Flag / Objective,Proof,"Flag value redacted or partially masked, or hash/screenshot reference",""
Flag / Objective,Notes,"Any quirks about retrieving or submitting the flag",""

Lessons Learned,What worked well,"Techniques / tools that were especially effective",""
Lessons Learned,What you’d do faster next time,"Places you wasted time or over-enumerated",""
Lessons Learned,Patterns recognised,"Vuln patterns or behaviours you’ve seen in other boxes",""
Lessons Learned,New tools / tricks,"Commands, tools, or methods you learned from this challenge",""
Lessons Learned,Open questions,"Anything still unclear you want to research later",""

Audience / Reporting,Intended reader,"Who you’re writing this for (future you, recruiters, community)",""
Audience / Reporting,Clarity check,"Key points you want a reader to take away",""
Audience / Reporting,Dead-end highlights,"1–3 short examples where explaining a failure is useful",""

Screenshots / Code / Ethics,Screenshot plan,"List key screenshots you will capture (path / description)",""
Screenshots / Code / Ethics,Privacy,"What needs blurring or redaction (usernames, IPs, domains)",""
Screenshots / Code / Ethics,Platform rules,"Spoiler / disclosure rules for this platform (delay, restrictions)",""
Screenshots / Code / Ethics,Code snippets,"List important snippets to include (payloads, scripts)",""
Screenshots / Code / Ethics,Logging,"Decide what log output is necessary vs. noisy",""
Screenshots / Code / Ethics,Client / program rules,"For bug bounty / client work: note permissions and what must stay private",""

Summary,One-paragraph story,"Short narrative from recon to flag, focusing on decision-making",""
Summary,Key impact,"If this were a real system, what would the risk / impact be?",""
Summary,Follow-up actions,"Things you want to practise or build next (labs, tools, blog posts)",""
